name,handedness,height,weight,avg,HR,weight_bin,height_bin
Dick Howser,R,68,155,0.248,16,160,68
Willie Smith,L,72,182,0.248,46,190,72
Graig Nettles,L,72,180,0.248,390,180,72
Joe Foy,R,72,215,0.248,58,220,72
Tom Hutton,L,71,180,0.248,22,180,71
Danny Thompson,R,72,183,0.248,15,190,72
Jim Sundberg,R,72,190,0.248,95,190,72
Rob Wilfong,L,73,180,0.248,39,180,73
Ron Theobald,R,68,165,0.248,2,170,68
Carl Warwick,R,70,170,0.248,31,170,70
Butch Hobson,R,73,193,0.248,98,200,73
Mickey Stanley,R,73,185,0.248,117,190,73
Junior Kennedy,R,71,175,0.248,4,180,71
Rod Gilbreath,R,74,180,0.248,14,180,74
Steve Nicosia,R,70,185,0.248,11,190,70
Larry Harlow,L,74,185,0.248,12,190,74
Luis Melendez,R,72,165,0.248,9,170,72
Gary Thomasson,L,73,180,0.249,61,180,73
Tony Scott,B,72,164,0.249,17,170,72
Chico Salmon,R,70,160,0.249,31,160,70
Derrel Thomas,B,72,160,0.249,43,160,72
John Milner,L,72,185,0.249,131,190,72
Alex Trevino,R,70,165,0.249,23,170,70
Don Mincher,L,75,205,0.249,200,210,75
John Orsino,R,75,215,0.249,40,220,75
Jerry Royster,R,72,165,0.249,40,170,72
Tito Landrum,R,71,175,0.249,13,180,71
Tom Grieve,R,74,190,0.249,65,190,74
Denny Doyle,L,69,175,0.25,16,180,69
Dick Bertell,R,72,200,0.25,10,200,72
Johnny Oates,L,71,188,0.25,14,190,71
Terry Crowley,L,72,180,0.25,42,180,72
Rick Bosetti,R,71,185,0.25,17,190,71
Marv Breeding,R,72,175,0.25,7,180,72
Paul Blair,R,72,168,0.25,134,170,72
Jim Pankovits,R,70,170,0.25,9,170,70
Nick Esasky,R,75,200,0.25,122,200,75
Jim Spencer,L,74,195,0.25,146,200,74
Bob Stinson,B,71,180,0.25,33,180,71
Fran Healy,R,77,220,0.25,20,220,80
Joe Strain,R,70,169,0.25,1,170,70
Mike Edwards,R,70,154,0.25,2,160,70
Greg Pryor,R,72,180,0.25,14,180,72
Ruppert Jones,L,70,170,0.25,147,170,70
Jake Wood,R,73,163,0.25,35,170,73
Jimmy Wynn,R,70,160,0.25,291,160,70
Leron Lee,L,72,196,0.25,31,200,72
Denis Menke,R,72,185,0.25,101,190,72
Wilbur Howard,B,74,170,0.25,6,170,74
Otto Velez,R,72,170,0.251,78,170,72
Rico Petrocelli,R,72,175,0.251,210,180,72
Benny Ayala,R,73,185,0.251,38,190,73
Jim Lefebvre,B,72,180,0.251,74,180,72
Mike de la Hoz,R,71,175,0.251,25,180,71
U L Washington,B,71,175,0.251,27,180,71
Barry Evans,R,73,180,0.251,2,180,73
Lenny Faedo,R,72,170,0.251,5,170,72
Tim Foli,R,72,179,0.251,25,180,72
Albert Hall,B,71,155,0.251,5,160,71
Jack Hiatt,R,74,190,0.251,22,190,74
Jerry Martin,R,73,195,0.251,85,200,73
Sonny Jackson,L,69,150,0.251,7,160,69
Andre Robertson,R,70,155,0.251,5,160,70
Dave May,L,70,186,0.251,96,190,70
Bobby Darwin,R,74,190,0.251,83,190,74
Doug Rader,R,74,208,0.251,155,210,74
Rob Andrews,R,72,185,0.251,3,190,72
Jerry Moses,R,75,210,0.251,25,210,75
Jesse Gonder,L,70,180,0.251,26,180,70
Jim Hickman,R,75,192,0.252,159,200,75
Joe Azcue,R,72,190,0.252,50,190,72
Omar Moreno,L,74,180,0.252,37,180,74
Mike Hershberger,R,70,175,0.252,26,180,70
Dave Chalk,R,70,175,0.252,15,180,70
Don Kessinger,B,73,170,0.252,14,170,73
Mack Jones,L,73,180,0.252,133,180,73
Lynn Jones,R,69,175,0.252,7,180,69
Tony Armas,R,71,182,0.252,251,190,71
Jerry Grote,R,70,185,0.252,39,190,70
Fred Whitfield,L,73,190,0.253,108,190,73
Eddie Milner,L,71,173,0.253,42,180,71
Jerry White,B,70,164,0.253,21,170,70
John Mayberry,L,75,215,0.253,255,220,75
Larvell Blanks,R,68,167,0.253,20,170,68
John Lowenstein,L,72,175,0.253,116,180,72
Bill Melton,R,74,200,0.253,160,200,74
Rich Reese,L,75,185,0.253,52,190,75
Johnny Briggs,L,73,190,0.253,139,190,73
Terry Harper,R,76,195,0.253,36,200,76
Dan Meyer,L,71,180,0.253,86,180,71
Len Gabrielson,L,76,210,0.253,37,210,76
Roy Foster,R,72,185,0.253,45,190,72
Art Shamsky,L,73,168,0.253,68,170,73
Jerry Terrell,R,71,165,0.253,4,170,71
Ivan DeJesus,R,71,175,0.254,21,180,71
Sal Bando,R,72,195,0.254,242,200,72
Rich Chiles,L,71,170,0.254,6,170,71
Gene Alley,R,70,160,0.254,55,160,70
Pete Ward,L,73,185,0.254,98,190,73
Larry Milbourne,B,72,161,0.254,11,170,72
Felix Torres,R,71,165,0.254,27,170,71
Jimmie Hall,L,72,175,0.254,121,180,72
Bob Boone,R,74,195,0.254,105,200,74
Andre Thornton,R,75,200,0.254,253,200,75
Bill Almon,R,75,180,0.254,36,180,75
Brian Asselstine,L,73,175,0.254,12,180,73
Bo Diaz,R,71,185,0.255,87,190,71
Pat Putnam,L,72,205,0.255,63,210,72
Frank White,R,71,165,0.255,160,170,71
Tim Flannery,L,71,175,0.255,9,180,71
Ken Berry,R,72,175,0.255,58,180,72
Frank Taveras,R,72,155,0.255,2,160,72
Tony Solaita,L,72,210,0.255,50,210,72
Bob Dernier,R,72,160,0.255,23,160,72
Charlie James,R,73,195,0.255,29,200,73
Lee Thomas,L,74,195,0.255,106,200,74
Wallace Johnson,B,72,173,0.255,5,180,72
Tommie Agee,R,71,195,0.255,130,200,71
Champ Summers,L,74,205,0.255,54,210,74
Butch Wynegar,B,73,190,0.255,65,190,73
Mike Shannon,R,75,195,0.255,68,200,75
Bill Sharp,L,70,178,0.255,9,180,70
Juan Bonilla,R,69,170,0.256,7,170,69
Walt Bond,L,79,228,0.256,41,230,80
Cito Gaston,R,75,190,0.256,91,190,75
Billy Conigliaro,R,72,180,0.256,40,180,72
Horace Clarke,B,69,170,0.256,27,170,69
Craig Reynolds,L,73,175,0.256,42,180,73
Ike Brown,R,72,190,0.256,20,190,72
Boots Day,L,69,160,0.256,8,160,69
Ray Fosse,R,74,215,0.256,61,220,74
Bob Oliver,R,75,205,0.256,94,210,75
Tom O'Malley,L,72,180,0.256,13,180,72
Julian Javier,R,73,175,0.257,78,180,73
Ken Henderson,B,74,180,0.257,122,180,74
Rick Manning,L,73,180,0.257,56,180,73
Bob Randall,R,74,175,0.257,1,180,74
Roy Smalley,B,73,185,0.257,163,190,73
Gates Brown,L,71,220,0.257,84,220,71
Pete LaCock,L,74,200,0.257,27,200,74
Mario Guerrero,R,70,155,0.257,7,160,70
Biff Pocoroba,B,70,175,0.257,21,180,70
Len Randle,B,70,169,0.257,27,170,70
Bob Bailey,R,73,180,0.257,189,180,73
Jerry Turner,L,69,180,0.257,45,180,69
Tommy Harper,R,69,165,0.257,146,170,69
Tom Haller,L,76,195,0.257,134,200,76
Leo Cardenas,R,71,150,0.257,118,160,71
Rich Dauer,R,72,180,0.257,43,180,72
Dave Rader,L,71,165,0.257,30,170,71
Bill Robinson,R,74,189,0.258,166,190,74
Duane Josephson,R,72,190,0.258,23,190,72
Cesar Geronimo,L,72,165,0.258,51,170,72
Bob Montgomery,R,73,195,0.258,23,200,73
Steve Brye,R,72,190,0.258,30,190,72
Jerry Hairston,B,70,170,0.258,30,170,70
Mike Andrews,R,75,195,0.258,66,200,75
Cliff Johnson,R,76,215,0.258,196,220,76
Lou Johnson,R,71,170,0.258,48,170,71
Joe Lefebvre,L,70,170,0.258,31,170,70
Steve Hovley,L,70,188,0.258,8,190,70
Mike Cubbage,L,72,180,0.258,34,180,72
Joe Pepitone,L,74,185,0.258,219,190,74
Del Unser,L,73,180,0.258,87,180,73
Garth Iorg,R,71,170,0.258,20,170,71
Tony Muser,L,74,180,0.259,7,180,74
Mike Davis,L,74,175,0.259,91,180,74
Ron Jackson,R,72,200,0.259,56,200,72
Mickey Brantley,R,70,180,0.259,32,180,70
Clint Hurdle,L,75,195,0.259,32,200,75
Hosken Powell,L,73,175,0.259,17,180,73
Doug DeCinces,R,74,190,0.259,237,190,74
Ed Ott,L,70,190,0.259,33,190,70
Alan Wiggins,B,74,160,0.259,5,160,74
Lee Mazzilli,B,73,180,0.259,93,180,73
Jerry Morales,R,70,155,0.259,95,160,70
Bert Campaneris,R,70,160,0.259,79,160,70
Al Ferrara,R,73,200,0.259,51,200,73
Mark Brouhard,R,73,210,0.259,25,210,73
Rowland Office,L,72,170,0.259,32,170,72
John Stearns,R,72,185,0.26,46,190,72
Ed Goodson,L,75,180,0.26,30,180,75
Jim Morrison,R,71,175,0.26,112,180,71
Don Baylor,R,73,190,0.26,338,190,73
Ken Reitz,R,72,180,0.26,68,180,72
Art Howe,R,74,190,0.26,43,190,74
Larry Bowa,B,70,155,0.26,15,160,70
Jim Dwyer,L,70,165,0.26,77,170,70
Greg Walker,L,75,205,0.26,113,210,75
Brock Davis,L,70,160,0.26,1,160,70
Jim Wohlford,R,71,175,0.26,21,180,71
Julio Gotay,R,72,180,0.26,6,180,72
Mike Squires,L,71,185,0.26,6,190,71
Bobby Valentine,R,70,189,0.26,12,190,70
Phil Garner,R,70,175,0.26,109,180,70
Elliott Maddox,R,71,180,0.261,18,180,71
Ed Kranepool,L,75,205,0.261,118,210,75
Jeff Burroughs,R,73,200,0.261,240,200,73
Billy North,B,71,185,0.261,20,190,71
Dick Dietz,R,73,195,0.261,66,200,73
Jose Tartabull,L,71,165,0.261,2,170,71
Ron Washington,R,71,155,0.261,20,160,71
Roy Howell,L,73,190,0.261,80,190,73
Bob Chance,L,74,196,0.261,24,200,74
Charlie Moore,R,71,180,0.261,36,180,71
Rick Reichardt,R,75,210,0.261,116,210,75
Davey Johnson,R,73,170,0.261,136,170,73
Don Money,R,73,170,0.261,176,170,73
Ron Cey,R,70,185,0.261,316,190,70
Jason Thompson,L,76,200,0.261,208,200,76
John Wockenfuss,R,72,190,0.262,86,190,72
Scot Thompson,L,75,195,0.262,5,200,75
Dave Engle,R,75,210,0.262,31,210,75
Ted Sizemore,R,70,165,0.262,23,170,70
Willie Upshaw,L,72,185,0.262,123,190,72
Reggie Jackson,L,72,195,0.262,563,200,72
John Wathan,R,74,205,0.262,21,210,74
John Ellis,R,74,225,0.262,69,230,74
Bill Freehan,R,75,203,0.262,200,210,75
Joe Nolan,L,71,175,0.263,27,180,71
Bruce Boisclair,L,74,185,0.263,10,190,74
Cookie Rojas,R,70,160,0.263,54,160,70
Larry Parrish,R,75,190,0.263,256,190,75
Milt May,L,72,190,0.263,77,190,72
Al Gallagher,R,72,180,0.263,11,180,72
Richie Scheinblum,B,73,180,0.263,13,180,73
Ted Uhlaender,L,74,190,0.263,36,190,74
Davey Lopes,R,69,170,0.263,155,170,69
Manny Trillo,R,73,150,0.263,61,160,73
Bill Russell,R,72,175,0.263,46,180,72
Ed Charles,R,70,170,0.263,86,170,70
Eric Soderholm,R,71,187,0.264,102,190,71
Junior Moore,R,71,185,0.264,7,190,71
Chuck Hinton,R,73,180,0.264,113,180,73
Toby Harrah,R,72,175,0.264,195,180,72
Rick Monday,L,75,193,0.264,241,200,75
Jim Norris,L,70,175,0.264,7,180,70
Bernie Carbo,L,71,173,0.264,96,180,71
Bob Molinaro,L,72,190,0.264,14,190,72
Don Buford,B,67,160,0.264,93,160,68
Ken Retzer,L,72,185,0.264,14,190,72
Phil Mankowski,L,72,180,0.264,8,180,72
Pat Kelly,L,73,185,0.264,76,190,73
Bob Bailor,R,71,170,0.264,9,170,71
Joe Rudi,R,74,200,0.264,179,200,74
Tony Conigliaro,R,75,185,0.264,166,190,75
Oscar Gamble,L,71,160,0.265,200,160,71
Bombo Rivera,R,70,187,0.265,10,190,70
Dick Davis,R,75,190,0.265,27,190,75
Miguel Dilone,B,72,160,0.265,6,160,72
Bobby Tolan,L,71,170,0.265,86,170,71
Mike Brown,R,74,195,0.265,23,200,74
Joel Youngblood,R,72,180,0.265,80,180,72
Rich Coggins,L,68,170,0.265,12,170,68
Ron Oester,B,74,185,0.265,42,190,74
Jim Holt,L,72,180,0.265,19,180,72
Ollie Brown,R,74,178,0.265,102,180,74
Jim Fregosi,R,73,190,0.265,151,190,73
Daryl Sconiers,L,74,185,0.265,15,190,74
Dave Revering,L,76,210,0.265,62,210,76
Bump Wills,B,69,172,0.266,36,180,69
Jeffrey Leonard,R,74,200,0.266,144,200,74
Mitchell Page,L,74,205,0.266,72,210,74
Bobby Grich,R,74,180,0.266,224,180,74
Wayne Krenchicki,L,73,180,0.266,15,180,73
Carl Taylor,R,74,200,0.266,10,200,74
Boog Powell,L,76,230,0.266,339,230,76
Reid Nichols,R,71,165,0.266,22,170,71
Joe Charboneau,R,74,205,0.266,29,210,74
Gail Hopkins,L,70,198,0.266,25,200,70
Jay Johnstone,L,73,175,0.267,102,180,73
Dave Concepcion,R,74,155,0.267,101,160,74
Jim Northrup,L,75,190,0.267,153,190,75
Barbaro Garbey,R,70,170,0.267,11,170,70
Bill Stein,R,70,170,0.267,44,170,70
R.J. Reynolds,B,72,190,0.267,35,190,72
Johnny Bench,R,73,197,0.267,389,200,73
Lee May,R,75,195,0.267,354,200,75
Dan Driessen,L,71,187,0.267,153,190,71
Wes Parker,B,73,180,0.267,64,180,73
Leon Roberts,R,75,200,0.267,78,200,75
Mike Schmidt,R,74,195,0.267,548,200,74
Bubba Morton,R,70,175,0.267,14,180,70
Willie Crawford,L,73,197,0.268,86,200,73
George Vukovich,L,72,198,0.268,27,200,72
Ken Landreaux,L,70,165,0.268,91,170,70
George Scott,R,74,200,0.268,271,200,74
Tony Horton,R,75,210,0.268,76,210,75
David Green,R,75,170,0.268,31,170,75
Bobby Bonds,R,73,190,0.268,332,190,73
Tito Fuentes,B,71,175,0.268,45,180,71
Rick Leach,L,73,180,0.268,18,180,73
Tom Poquette,L,70,175,0.268,10,180,70
Rich Rollins,R,70,185,0.269,77,190,70
Chris Brown,R,72,185,0.269,38,190,72
Ron Pruitt,R,72,185,0.269,12,190,72
Mike Ivie,R,75,205,0.269,81,210,75
Tommy Helms,R,70,165,0.269,34,170,70
Rick Miller,L,72,175,0.269,28,180,72
Walt Williams,R,66,165,0.27,33,170,68
Dan Ford,R,73,185,0.27,121,190,73
Al Cowens,R,73,197,0.27,108,200,73
Rufino Linares,R,72,170,0.27,11,170,72
Paul Dade,R,73,185,0.27,10,190,73
Tim Corcoran,L,71,175,0.27,12,180,71
Jack Perconte,L,70,160,0.27,2,160,70
Alan Bannister,R,71,170,0.27,19,170,71
Merv Rettenmund,R,70,190,0.271,66,190,70
Al Woods,L,75,190,0.271,35,190,75
Rudy Law,L,73,165,0.271,18,170,73
Duane Kuiper,L,72,175,0.271,1,180,72
Joe Morgan,L,67,160,0.271,268,160,68
Steve Braun,L,70,180,0.271,52,180,70
Ray Knight,R,73,185,0.271,84,190,73
Dave Stapleton,R,73,178,0.271,41,180,73
Willie Aikens,L,75,220,0.271,110,220,75
Broderick Perkins,L,70,180,0.271,8,180,70
Roy White,B,70,160,0.271,160,160,70
Sixto Lezcano,R,70,165,0.271,148,170,70
Dave Collins,B,71,175,0.272,32,180,71
Manny Jimenez,L,73,185,0.272,26,190,73
Bob Johnson,R,70,175,0.272,44,180,70
Barry Bonnell,R,75,190,0.272,56,190,75
Thad Bosley,L,75,175,0.272,20,180,75
Bill Sample,R,69,175,0.272,46,180,69
Von Joshua,L,70,170,0.273,30,170,70
Larry Hisle,R,74,193,0.273,166,200,74
Ron Hunt,R,72,186,0.273,39,190,72
Larry Biittner,L,74,205,0.273,29,210,74
Ben Oglivie,L,74,160,0.273,235,160,74
Chet Lemon,R,72,190,0.273,215,190,72
Rick Burleson,R,70,165,0.273,50,170,70
Willie Horton,R,71,209,0.273,325,210,71
Gene Locklear,L,70,165,0.274,9,170,70
George Foster,R,73,180,0.274,348,180,73
Juan Beniquez,R,71,150,0.274,79,160,71
Rennie Stennett,R,71,160,0.274,41,160,71
Donn Clendenon,R,76,209,0.274,159,210,76
Larry Herndon,R,75,190,0.274,107,190,75
Terry Francona,L,73,190,0.274,16,190,73
Carlos May,L,71,200,0.274,90,200,71
Steve Ontiveros,B,72,185,0.274,24,190,72
Darrell Brown,B,72,184,0.274,1,190,72
Jose Cardenal,R,70,150,0.275,138,160,70
Willie Montanez,L,72,170,0.275,139,170,72
Jerry Remy,L,69,165,0.275,7,170,69
Dane Iorg,L,72,180,0.276,14,180,72
Richie Hebner,L,73,195,0.276,203,200,73
Greg Luzinski,R,73,220,0.276,307,220,73
Gary Ward,R,74,195,0.276,130,200,74
Danny Cater,R,72,170,0.276,66,170,72
Gene Clines,R,69,170,0.277,5,170,69
Jeff Stone,L,72,175,0.277,11,180,72
Ron Santo,R,72,190,0.277,342,190,72
Leon Durham,L,73,185,0.277,147,190,73
Amos Otis,R,71,165,0.277,193,170,71
Enos Cabell,R,76,170,0.277,60,170,76
Bob Horner,R,73,195,0.277,218,200,73
Rick Peters,B,69,170,0.277,2,170,69
Bobby Murcer,L,71,160,0.277,252,160,71
Cesar Tovar,R,69,155,0.278,46,160,69
Jim Ray Hart,R,71,185,0.278,170,190,71
Jorge Orta,L,70,170,0.278,130,170,70
George Hendrick,R,75,195,0.278,267,200,75
Claudell Washington,L,72,190,0.278,164,190,72
Dusty Baker,R,74,183,0.278,242,190,74
Johnny Grubb,L,75,175,0.278,99,180,75
Steve Kemp,L,72,195,0.278,130,200,72
John Castino,R,71,175,0.278,41,180,71
Ellis Valentine,R,76,205,0.278,123,210,76
Chris Chambliss,L,73,195,0.279,185,200,73
Tony Perez,R,74,175,0.279,379,180,74
Rusty Staub,L,74,190,0.279,292,190,74
Mike Vail,R,73,180,0.279,34,180,73
Vic Davalillo,L,67,150,0.279,36,160,68
Felix Millan,R,71,172,0.279,22,180,71
Buddy Bell,R,73,180,0.279,201,180,73
Keith Moreland,R,72,190,0.279,121,190,72
Willie Davis,L,74,180,0.279,182,180,74
Jesus Alou,R,74,190,0.28,32,190,74
Steve Henderson,R,74,190,0.28,68,190,74
Mickey Hatcher,R,74,200,0.28,38,200,74
Glenn Adams,L,73,180,0.28,34,180,73
Al Bumbry,L,68,170,0.281,54,170,68
Gary Matthews,R,74,185,0.281,234,190,74
Terry Whitfield,L,73,197,0.281,33,200,73
Cleon Jones,R,72,185,0.281,93,190,72
Ken Singleton,B,76,210,0.282,246,210,76
Tom Paciorek,R,76,215,0.282,86,220,76
Bruce Bochte,L,75,195,0.282,100,200,75
Wayne Nordhagen,R,74,205,0.282,39,210,74
Willie Stargell,L,74,188,0.282,475,190,74
Floyd Robinson,L,69,175,0.283,67,180,69
Dave Cash,R,71,170,0.283,21,170,71
Fred Lynn,L,73,185,0.283,306,190,73
Damaso Garcia,R,73,165,0.283,36,170,73
Glenn Beckert,R,73,190,0.283,22,190,73
Jose Cruz,L,72,170,0.284,165,170,72
Carl Yastrzemski,L,71,175,0.285,452,180,71
Garry Maddox,R,75,175,0.285,117,180,75
Ted Simmons,B,71,193,0.285,248,200,71
Cesar Cedeno,R,74,175,0.285,199,180,74
Lee Lacy,R,73,175,0.286,91,180,73
Tony Gonzalez,L,69,170,0.286,103,170,69
Phil Bradley,R,72,185,0.286,78,190,72
Greg Gross,L,70,160,0.287,7,160,70
Richie Zisk,R,73,200,0.287,207,200,73
Lamar Johnson,R,74,215,0.287,64,220,74
Jose Morales,R,71,187,0.287,26,190,71
Reggie Smith,B,72,180,0.287,314,180,72
Alex Johnson,R,72,205,0.288,78,210,72
Ron LeFlore,R,72,200,0.288,59,200,72
Bill Buckner,L,72,185,0.289,174,190,72
Jerry Mumphrey,B,74,185,0.289,70,190,74
Hal McRae,R,71,180,0.29,191,180,71
Johnny Ray,B,71,170,0.29,53,170,71
Gene Richards,L,72,175,0.29,26,180,72
Mike Hargrove,L,72,195,0.29,80,200,72
Lou Piniella,R,72,182,0.291,102,190,72
Thurman Munson,R,71,190,0.292,113,190,71
Dick Allen,R,71,187,0.292,351,190,71
Lou Brock,L,71,170,0.293,149,170,71
Mike Easler,L,72,190,0.293,118,190,72
Ron Blomberg,L,73,195,0.293,52,200,73
Steve Garvey,R,70,192,0.294,272,200,70
Mickey Rivers,L,70,165,0.295,61,170,70
Bob Watson,R,72,201,0.295,184,210,72
Manny Sanguillen,R,72,193,0.296,65,200,72
Keith Hernandez,L,72,180,0.296,162,180,72
Joe Torre,R,74,212,0.297,252,220,74
Jim Rice,R,74,200,0.298,382,200,74
Cecil Cooper,L,74,165,0.298,241,170,74
Bake McBride,L,74,190,0.299,63,190,74
Rico Carty,R,75,200,0.299,204,200,75
Pete Rose,B,71,192,0.303,160,200,71
Al Oliver,L,72,195,0.303,219,200,72
Tony Oliva,L,73,175,0.304,220,180,73
Manny Mota,R,70,160,0.304,31,160,70
Bill Madlock,R,71,180,0.305,163,180,71
Ralph Garr,L,71,185,0.306,75,190,71
Matty Alou,L,69,160,0.307,31,160,69
Lyman Bostock,L,73,180,0.311,23,180,73
Rod Carew,L,72,170,0.328,92,170,72
